created_date,created_time,text,replies,retweets,favorites
10/18/17,3:07:00 PM,The current tax code is a burden on American taxpayers &amp; harmful to job-creators. Americans need #TaxReform! More: https://t.co/qXyiYiFWCO https://t.co/NGIjJOc3TP,10741,10472,42996
10/18/17,1:41:00 PM,"I am supportive of Lamar as a person &amp; also of the process, but I can never support bailing out ins co's who have made a fortune w/ O'Care.",13006,12949,60040
10/18/17,11:25:00 AM,Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action (and I have proof). Sad!,79771,25434,98889
10/18/17,11:06:00 AM,The NFL has decided that it will not force players to stand for the playing of our National Anthem. Total disrespect for our great country!,50773,24359,100626
10/18/17,10:56:00 AM,"As it has turned out, James Comey lied and leaked and totally protected Hillary Clinton. He was the best thing that ever happened to her!",23893,25248,93311
10/18/17,10:38:00 AM,"The Democrats will only vote for Tax Increases. Hopefully, all Senate Republicans will vote for the largest Tax Cuts in U.S. history.",10421,14042,59992
10/18/17,10:27:00 AM,"...people not interviewed, including Clinton herself. Comey stated under oath that he didn't do this-obviously a fix? Where is Justice Dept?",13682,19584,72570
10/18/17,10:21:00 AM,"Wow, FBI confirms report that James Comey drafted letter exonerating  Crooked Hillary Clinton long before investigation was complete. Many..",13044,24253,85263
10/18/17,2:21:00 AM,The most important truth our FOUNDERS understood was: FREEDOM is NOT a gift from Govt. FREEDOM is a GIFT from GOD. _ _ https://t.co/rmAzGt8SuG https://t.co/SrPavwrt2R,22578,17790,63240
10/18/17,12:44:00 AM,"Thank you @Heritage! This is our once-in-a-generation opportunity to revitalize our economy, revive our industry &amp; renew the AMERICAN DREAM! https://t.co/HI30nojsGo",6873,9652,42205
10/17/17,11:06:00 PM,WOW! https://t.co/eKfRktNVuy,13164,17099,63265
10/17/17,11:03:00 PM,BORDER WALL prototypes underway! https://t.co/arFNO80zmO,25000,30876,103617
10/17/17,9:56:00 PM,"Any increase in ObamaCare premiums is the fault of the Democrats for giving us a ""product"" that never had a chance of working.",33395,16757,72078
10/17/17,9:51:00 PM,"So much Fake News being put in dying magazines and newspapers. Only place worse may be @NBCNews, @CBSNews, @ABC and @CNN. Fiction writers!",27461,16206,63683
10/17/17,6:59:00 PM,It was my great honor to welcome Prime Minister Alexis Tsipras of Greece to the WH today! _ _ https://t.co/Bn1vM6fYW9 _   https://t.co/j0roMFT3YL https://t.co/MPe5HWFcZ1,5580,6740,37160
10/17/17,5:25:00 PM,Join me LIVE from the Rose Garden at 1:30pmE with Prime Minister Alexis Tsipras of Greece.  _    https://t.co/Bn1vM6fYW9 https://t.co/dZB4mDBKpi,4998,4348,24886
10/17/17,12:39:00 PM,Rep.Tom Marino has informed me that he is withdrawing his name from consideration as drug czar. Tom is a fine man and a great Congressman!,19852,8680,49688
10/17/17,11:05:00 AM,RT @Scavino45: U.S. MARKETS FROM ELECTION DAY {Since 11/8/2016} _    https://t.co/HtjHrznQKJ,4058,7773,27962
10/16/17,11:32:00 PM,Always great to see the wonderful people of South Carolina. Thank you for the beautiful welcome at Greenville-Spartanburg Int'l Airport! https://t.co/maO9Nc0sTe,14309,12285,65463
10/16/17,1:12:00 PM,"I was recently asked if Crooked Hillary Clinton is going to run in 2020? My answer was, ""I hope so!""",57560,35102,151626
10/16/17,12:57:00 PM,"The U.S. has gained more than 5.2 trillion dollars in Stock Market Value since Election Day! Also, record business enthusiasm.",19227,19599,96229
10/16/17,12:54:00 PM,"Since Election Day on November 8, the Stock Market is up more than 25%, unemployment is at a 17 year low &amp; companies are coming back to U.S.",15429,20213,92373
10/16/17,12:49:00 PM,"Dem Senator Schumer hated the Iran deal made by President Obama, but now that I am involved, he is OK with it. Tell that to Israel, Chuck!",10836,21054,76720
10/16/17,12:21:00 PM,The Democrats only want to increase taxes and obstruct. That's all they are good at!,17682,12840,57086
10/16/17,12:17:00 PM,Art Laffer just said that he doesn't know how a Democrat could vote against the big tax cut/reform bill and live with themselves!  @FoxNews,13380,12927,57827
10/16/17,12:55:00 AM,RT @ABCNewsRadio: Global fund championed by Ivanka Trump to help women entrepreneurs begins operations https://t.co/jUmsY3ON4x https://t.co  _,5225,5575,25420
