"","date_amazon","date","id","price_offline","price_online","price_amazon","sale_online","product_online","product_amazon","merchant","url","imputed","comments","pricetype","datediff","cat_id","category","retailer_id","retailer_s"
"1515","25-Jan-15","23-Jan-15","29000017337",6.29,6.99,15.12,0,"Planters Pistachio Blend 10 oz","Planters Nutrition Almond Peanut Pistachio, 10.25 oz. (Count of 3)","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Planters-Nutrition-Almond-Peanut-Pistachio/dp/B005VOOT8O/ref=sr_1_1?ie=UTF8&qid=1422163694&sr=8-1&keywords=Planters+Pistachio+Blend+10+oz",NA,"","",2,9999,"Mix",53,"USA_53"
"1516","23-Feb-15","16-Feb-15","34878719108",11.99,11.99,8.68,0,"34878719108","RoomMates RMK2361SCS Frozen Peel and Stick Wall Decals, 36 Count","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/RoomMates-RMK2361SCS-Frozen-Stick-Decals/dp/B00FMQILBC/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1424752479&sr=8-1&keywords=034878719108",NA,"","",7,9999,"Mix",53,"USA_53"
"1517","26-May-16","24-May-16","9060717",19.99,19.99,19.99,0,"WeberŒ¬ Hinged Grate 22.5""""","Weber 7436 Replacement Hinged Cooking Grate","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Weber-7436-Replacement-Hinged-Cooking/dp/B000WEPHKW/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464283601&sr=8-1&keywords=Weber%C2%AE+Hinged+Grate+22.5%22%22",NA,"","Regular Price",2,9999,"Mix",53,"USA_53"
"1518","20-Jan-15","18-Jan-15","33317190379",19.99,19.99,14.41,0,"Texas Instruments TI-30XS Multiview Scientific...","Texas Instruments TI-30XS MultiView Scientific Calculator","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Texas-Instruments-MultiView-Scientific-Calculator/dp/B000PDFQ6K/ref=sr_1_1?ie=UTF8&qid=1421815856&sr=8-1&keywords=Texas+Instruments+TI-30XS+Multiview+Scientific...",NA,"","",2,9999,"Mix",53,"USA_53"
"1519","7-Oct-15","5-Oct-15","44600307701",3.84,3.84,19.07,0,"44600307701","Clorox Company 30770 Regular Concentrate Solution, 121-Ounce","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Clorox-30770-Concentrate-Solution-121-Ounce/dp/B00BDNCQGE/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1444191620&sr=8-1&keywords=044600307701",NA,"","",2,9999,"Mix",53,"USA_53"
"1520","31-Jan-15","24-Jan-15","18713582744",39.99,34.99,34.98,0,"Gaiam Restore 36"" Foam Roller - Grey","Gaiam Muscle Therapy Foam Roller","Ships from and sold by Amazon.com in easy-to-open packaging.","http://www.amazon.com/Gaiam-Restore-Total-Roller-36-Inch/dp/B00GXXN9GA/ref=sr_1_1?ie=UTF8&qid=1422681120&sr=8-1&keywords=Gaiam+Restore+36%22+Foam+Roller+-+Grey",NA,"","",7,9999,"Mix",53,"USA_53"
"1521","29-May-16","24-May-16","82010474",6.99,8.39,11.39,0,"Schwinn Adjustable Kickstand""","Schwinn Adjustable Kickstand","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Schwinn-SW597A-3PK-Adjustable-Kickstand/dp/B000OMO96K/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464578513&sr=8-1&keywords=Schwinn+Adjustable+Kickstand%22",NA,"","Regular Price",5,9999,"Mix",53,"USA_53"
"1522","16-Feb-15","10-Feb-15","24543932079",39.99,44.99,21.99,0,"Cosmos: A Spacetime Odyssey (4 Discs) (Blu-ray)...","Cosmos: A Spacetime Odyssey [Blu-ray]","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Cosmos-Spacetime-Neil-Degrasse-Tyson/dp/B00IWULSTC/ref=sr_1_1?ie=UTF8&qid=1424065146&sr=8-1&keywords=Cosmos%3A+A+Spacetime+Odyssey+%284+Discs%29+%28Blu-ray%29...",NA,"","",6,9999,"Mix",53,"USA_53"
"1523","3-Jun-16","3-Jun-16","72081212",49.99,49.99,39.35,0,"BELLA Single Serve Dual Brew Coffee Maker""","BELLA 14392 Dual Brew Single Serve Coffee Maker, Silver/Black","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/BELLA-14392-Single-Coffee-Silver/dp/B00NEXXT2Q/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1465011404&sr=8-1&keywords=BELLA+Single+Serve+Dual+Brew+Coffee+Maker%22",NA,"","Regular Price",0,9999,"Mix",53,"USA_53"
"1524","25-Jan-15","20-Jan-15","48894043130",15.99,14.99,14.99,0,"Holmes AER1 Odor Filter","Holmes AER1 Odor Eliminator HEPA Type Filter, HAPF30AO4-U4","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Holmes-AER1-Eliminator-Filter-HAPF30AO4-U4/dp/B005BFNHBS/ref=sr_1_1?ie=UTF8&qid=1422162259&sr=8-1&keywords=Holmes+AER1+Odor+Filter",NA,"","",5,9999,"Mix",53,"USA_53"
"1525","7-Jun-16","5-Jun-16","8090801",169.99,169.99,169.99,0,"TCL 32"" 720p 60Hz Roku Smart LED TV - Black...""","TCL 32S3800 32-Inch 720p Roku Smart LED TV (2015 Model)","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/TCL-32S3800-32-Inch-Smart-Model/dp/B00UB9UJBA?ie=UTF8&keywords=TCL%2032%26%2334%3B%20720p%2060Hz%20Roku%20Smart%20LED%20TV%20-%20Black...%26%2334%3B&m=ATVPDKIKX0DER&qid=1465272409&ref_=sr_1_1&sr=8-1",NA,"","Regular Price",2,9999,"Mix",53,"USA_53"
"1526","31-May-16","24-May-16","9060717",19.99,19.99,19.99,0,"WeberŒ¬ Hinged Grate 22.5""""","Weber 7436 Replacement Hinged Cooking Grate","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Weber-7436-Replacement-Hinged-Cooking/dp/B000WEPHKW/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464752855&sr=8-1&keywords=Weber%C2%AE+Hinged+Grate+22.5%22%22",NA,"","Regular Price",7,9999,"Mix",53,"USA_53"
"1527","12-Jun-16","5-Jun-16","57004193",39.99,39.99,39.99,0,"Altec Mini H2O Bluetooth Waterproof Speaker Mint""","Altec Lansing IMW257-MNT-GRP Mini H2O Bluetooth Waterproof Speaker, Mint","Ships from and sold by Amazon.com. Gift-wrap available.","https://www.amazon.com/Altec-Lansing-IMW257-MNT-GRP-Bluetooth-Waterproof/dp/B01AR0BDO4/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1465789880&sr=8-1&keywords=Altec+Mini+H2O+Bluetooth+Waterproof+Speaker+Mint%22",NA,"","Regular Price",7,9999,"Mix",53,"USA_53"
"1528","4-Jun-16","3-Jun-16","72081212",49.99,49.99,39.35,0,"BELLA Single Serve Dual Brew Coffee Maker""","BELLA 14392 Dual Brew Single Serve Coffee Maker, Silver/Black","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/BELLA-14392-Single-Coffee-Silver/dp/B00NEXXT2Q/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1465097833&sr=8-1&keywords=BELLA+Single+Serve+Dual+Brew+Coffee+Maker%22",NA,"","Regular Price",1,9999,"Mix",53,"USA_53"
